,赛事,比赛时间,主队,比分,上半场比分,客队,赛果,让球盘口,让球盘路,大小
0,友谊赛,2018-03-27,库拉索,1:0,(0-0),玻利维亚,胜,平手,赢,小
1,友谊赛,2018-03-24,库拉索,1:1,(1-0),玻利维亚,平,*一球,赢,小
2,友谊赛,2017-10-09,卡塔尔,1:2,(1-1),库拉索,胜,平手,-,大
3,美洲金杯,2017-07-17,库拉索,0:2,(0-1),墨西哥,负,*两球,走,小
4,美洲金杯,2017-07-14,萨尔瓦多,2:0,(2-0),库拉索,负,平/半,赢,小
5,美洲金杯,2017-07-10,库拉索,0:2,(0-0),牙买加,负,*平/半,输,小
6,美加杯,2017-06-26,牙买加,1:2,(0-1),库拉索,胜,半/一,输,大
7,美加杯,2017-06-23,库拉索,2:1,(0-1),马提尼克,胜,平手,-,大
8,友谊赛,2017-06-14,加拿大,2:1,(1-1),库拉索,负,球半/两,输,大
9,友谊赛,2017-03-23,库拉索,1:1,(0-0),萨尔瓦多,平,平手,-,小
10,美加杯,2016-10-12,波多黎各,2:2,(2-0),库拉索,平,平手,-,大
11,美加杯,2016-10-06,库拉索,3:0,(1-0),安提瓜及巴布达,胜,平手,-,大
12,美加杯,2016-06-08,库拉索,7:0,(4-0),美属维京群岛,胜,平手,-,大
13,美加杯,2016-06-02,圭亚那,2:5,(1-2),库拉索,胜,平手,-,大
14,美加杯,2016-03-27,库拉索,2:1,(0-0),多米尼加共和国,胜,平手,-,大
15,美加杯,2016-03-24,巴巴多斯,1:0,(0-0),库拉索,负,平手,-,小
16,北美预,2015-09-09,萨尔瓦多,1:0,(1-0),库拉索,负,一球,走,小
17,北美预,2015-09-05,库拉索,0:1,(0-1),萨尔瓦多,负,*一球,走,小
18,北美预,2015-06-15,古巴,1:1,(1-1),库拉索,平,平手,走,小
19,北美预,2015-06-11,库拉索,0:0,(0-0),古巴,平,*半球,赢,小
20,友谊赛,2015-06-06,库拉索,1:0,(0-0),特立尼达和多巴哥,胜,平手,-,小
21,友谊赛,2015-05-21,苏里南,2:3,(1-1),库拉索,胜,平手,-,大
22,友谊赛,2017-06-13,印度尼西亚,0:0,(0-0),波多黎各,平,半/一,输,小
23,美加杯,2016-10-12,波多黎各,2:2,(2-0),库拉索,平,平手,-,大
24,美加杯,2016-10-09,安提瓜及巴布达,2:0,(1-0),波多黎各,负,平手,-,小
25,友谊赛,2016-09-03,印度,4:1,(3-1),波多黎各,负,平/半,赢,大
26,友谊赛,2016-08-31,波多黎各,0:1,(0-1),多米尼加共和国,负,平手,-,小
27,友谊赛,2016-08-29,多米尼加共和国,5:0,(2-0),波多黎各,负,平手,-,大
28,美加杯,2016-06-05,波多黎各,1:1,(1-1),安提瓜及巴布达,平,平手,-,小
29,美加杯,2016-06-02,格林纳达,3:3,(3-1),波多黎各,平,平手,-,大
30,友谊赛,2016-05-22,波多黎各,1:3,(1-2),美国,负,*球半,输,大
31,美加杯,2016-03-30,波多黎各,0:1,(0-0),圭亚那,负,平手,-,小
32,美加杯,2016-03-27,安圭拉,0:4,(0-2),波多黎各,胜,平手,-,大
33,北美预,2015-06-17,格林纳达,2:0,(1-0),波多黎各,负,*半球,赢,小
34,北美预,2015-06-13,波多黎各,1:0,(1-0),格林纳达,胜,半球,赢,小
35,友谊赛,2015-06-06,百慕达,1:1,(1-1),波多黎各,平,平手,-,小
36,友谊赛,2015-03-31,波多黎各,0:3,(0-1),加拿大,负,*球半,输,大
37,美加杯,2014-09-08,波多黎各,2:2,(1-0),格林纳达,平,平手,-,大
38,美加杯,2014-09-06,波多黎各,1:2,(1-0),法属圭亚那,负,平手,-,大
39,友谊赛,2018-06-04,巴巴多斯,0:0,(0-0),伯利兹,平,平手,-,小
