,赛事,比赛时间,主队,比分,上半场比分,客队,赛果,让球盘口,让球盘路,大小
0,世界杯,2018-07-08,俄罗斯,1:1,(1-1),克罗地亚,平,*平/半,赢,小
1,世界杯,2018-07-01,西班牙,1:1,(1-1),俄罗斯,平,一球,输,小
2,世界杯,2018-06-25,乌拉圭,3:0,(2-0),俄罗斯,负,*平/半,赢,大
3,世界杯,2018-06-20,俄罗斯,3:1,(0-0),埃及,胜,平/半,赢,大
4,世界杯,2018-06-14,俄罗斯,5:0,(2-0),沙特阿拉伯,胜,球半,赢,大
5,友谊赛,2018-06-06,俄罗斯,1:1,(1-0),土耳其,平,半球,输,小
6,友谊赛,2018-05-31,奥地利,1:0,(1-0),俄罗斯,负,平/半,赢,小
7,友谊赛,2018-03-27,俄罗斯,1:3,(0-1),法国,负,*一球,输,大
8,友谊赛,2018-03-24,俄罗斯,0:3,(0-0),巴西,负,*半/一,输,大
9,友谊赛,2017-11-15,俄罗斯,3:3,(1-2),西班牙,平,*一球,赢,大
10,友谊赛,2017-11-11,俄罗斯,0:1,(0-0),阿根廷,负,*半球,输,小
11,友谊赛,2017-10-11,俄罗斯,1:1,(0-0),伊朗,平,半球,输,小
12,友谊赛,2017-10-07,俄罗斯,4:2,(1-0),韩国,胜,半球,赢,大
13,友谊赛,2017-09-03,俄罗斯,3:0,(2-0),莫斯科迪纳摩,胜,一/半,赢,大
14,联合杯,2017-06-24,俄罗斯,1:2,(1-1),墨西哥,负,*平/半,输,大
15,联合杯,2017-06-21,俄罗斯,0:1,(0-1),葡萄牙,负,*半球,输,小
16,联合杯,2017-06-17,俄罗斯,2:0,(1-0),新西兰,胜,球半,赢,小
17,友谊赛,2017-06-10,俄罗斯,1:1,(0-0),智利,平,*平/半,赢,小
18,友谊赛,2017-06-06,匈牙利,0:3,(0-2),俄罗斯,胜,平手,输,大
19,友谊赛,2017-03-28,俄罗斯,3:3,(1-3),比利时,平,*平/半,赢,大
20,友谊赛,2017-03-24,俄罗斯,0:2,(0-1),科特迪瓦,负,半球,输,小
21,友谊赛,2016-11-15,俄罗斯,1:0,(0-0),罗马尼亚,胜,平/半,赢,小
22,友谊赛,2016-11-10,卡塔尔,2:1,(1-1),俄罗斯,负,*半球,赢,大
23,友谊赛,2016-10-09,俄罗斯,3:4,(1-3),哥斯达黎加,负,半/一,输,大
24,友谊赛,2016-09-06,俄罗斯,1:0,(1-0),加纳,胜,半球,赢,小
25,友谊赛,2016-09-01,土耳其,0:0,(0-0),俄罗斯,平,平手,走,小
26,欧锦赛,2016-06-21,俄罗斯,0:3,(0-2),威尔士,负,平/半,输,大
27,欧锦赛,2016-06-15,俄罗斯,1:2,(0-2),斯洛伐克,负,半球,输,大
28,欧锦赛,2016-06-12,英格兰,1:1,(0-0),俄罗斯,平,半球,输,小
29,友谊赛,2016-06-05,塞尔维亚,1:1,(0-0),俄罗斯,平,*平/半,赢,小
30,友谊赛,2016-06-01,捷克,2:1,(0-1),俄罗斯,负,平手,赢,大
31,友谊赛,2016-03-30,法国,4:2,(2-0),俄罗斯,负,一球,赢,大
