,dist,countm,winpct
0,0,6049,0.55728
1,1,6022,0.55829
2,2,5951,0.56091
3,3,5809,0.56206
4,4,5693,0.56807
5,5,5586,0.56964
6,6,5465,0.57438
7,7,5389,0.57747
8,8,5263,0.58294
9,9,5164,0.58559
10,10,5049,0.58863
11,11,4967,0.59211
12,12,4871,0.59639
13,13,4779,0.60013
14,14,4699,0.60438
15,15,4617,0.60645
16,16,4558,0.60619
17,17,4476,0.60702
18,18,4356,0.61019
19,19,4248,0.61276
20,20,4195,0.61597
21,21,4122,0.6196
22,22,4033,0.62137
23,23,3931,0.62732
24,24,3844,0.62981
25,25,3761,0.63095
26,26,3688,0.63368
27,27,3638,0.63606
28,28,3546,0.64044
29,29,3455,0.64168
30,30,3381,0.64508
31,31,3320,0.64789
32,32,3238,0.65349
33,33,3170,0.65741
34,34,3079,0.66288
35,35,3024,0.66534
36,36,2950,0.66847
37,37,2881,0.67407
38,38,2821,0.67848
39,39,2771,0.67701
40,40,2701,0.6816
41,41,2643,0.68521
42,42,2554,0.69068
43,43,2508,0.68939
44,44,2432,0.69202
45,45,2397,0.69253
46,46,2349,0.69519
47,47,2311,0.6971
48,48,2243,0.69862
49,49,2216,0.69856
50,50,2153,0.70088
51,51,2104,0.69962
52,52,2070,0.70193
53,53,2028,0.70217
54,54,1994,0.69809
55,55,1941,0.69964
56,56,1891,0.69963
57,57,1845,0.70081
58,58,1810,0.70166
59,59,1765,0.70368
60,60,1745,0.70258
61,61,1701,0.70723
62,62,1658,0.70326
63,63,1641,0.70323
64,64,1592,0.69912
65,65,1553,0.70122
66,66,1525,0.70098
67,67,1478,0.70365
68,68,1460,0.70479
69,69,1427,0.70147
70,70,1404,0.70157
71,71,1357,0.70228
72,72,1341,0.70022
73,73,1317,0.69704
74,74,1306,0.69678
75,75,1250,0.6976
76,76,1215,0.70288
77,77,1191,0.70361
78,78,1166,0.70926
79,79,1142,0.71191
80,80,1113,0.71968
81,81,1089,0.72084
82,82,1059,0.71766
83,83,1033,0.71926
84,84,1017,0.7178
85,85,969,0.71827
86,86,949,0.72076
87,87,924,0.72186
88,88,904,0.72456
89,89,881,0.72418
90,90,859,0.73108
91,91,828,0.72947
92,92,806,0.73449
93,93,781,0.73624
94,94,768,0.73568
95,95,754,0.73342
96,96,738,0.73713
97,97,727,0.73865
98,98,717,0.74338
99,99,687,0.75255
100,100,659,0.74355
101,101,651,0.74654
102,102,630,0.74603
103,103,597,0.76047
104,104,586,0.75597
105,105,567,0.75132
106,106,553,0.74503
107,107,545,0.74495
108,108,537,0.7486
109,109,507,0.75937
110,110,486,0.76337
111,111,474,0.77004
112,112,472,0.76907
113,113,465,0.77419
114,114,445,0.78427
115,115,437,0.7849
116,116,435,0.78391
117,117,431,0.7819
118,118,427,0.78454
119,119,419,0.7852
120,120,412,0.78155
121,121,409,0.78729
122,122,389,0.78149
123,123,376,0.78989
124,124,363,0.78512
125,125,358,0.78212
126,126,352,0.77841
127,127,346,0.77457
128,128,343,0.77259
129,129,337,0.77448
130,130,335,0.77313
131,131,325,0.78769
132,132,317,0.7918
133,133,313,0.78914
134,134,313,0.78914
135,135,313,0.78914
136,136,305,0.79016
137,137,303,0.79208
138,138,292,0.78767
139,139,281,0.80071
140,140,281,0.80071
141,141,278,0.79856
142,142,274,0.79562
143,143,268,0.79104
144,144,267,0.79401
145,145,263,0.79087
146,146,258,0.78682
147,147,252,0.78968
148,148,249,0.78715
149,149,242,0.78512
150,150,234,0.78632
151,151,225,0.78222
152,152,219,0.77626
153,153,217,0.7788
154,154,208,0.78365
155,155,205,0.78049
156,156,197,0.78173
157,157,187,0.77005
158,158,179,0.75978
159,159,172,0.75
160,160,172,0.75
161,161,171,0.75439
162,162,163,0.76687
163,163,160,0.76875
164,164,159,0.77358
165,165,153,0.76471
166,166,151,0.76159
167,167,141,0.78014
168,168,141,0.78014
169,169,136,0.77941
170,170,126,0.77778
171,171,118,0.77119
172,172,112,0.79464
173,173,108,0.78704
174,174,98,0.80612
175,175,93,0.7957
176,176,92,0.79348
177,177,90,0.78889
178,178,87,0.78161
179,179,75,0.77333
180,180,75,0.77333
181,181,75,0.77333
182,182,72,0.77778
183,183,72,0.77778
184,184,67,0.76119
185,185,65,0.75385
186,186,65,0.75385
187,187,57,0.75439
188,188,55,0.74545
189,189,52,0.73077
190,190,52,0.73077
191,191,35,0.71429
192,192,32,0.6875
193,193,28,0.64286
194,194,28,0.64286
195,195,24,0.66667
196,196,19,0.68421
197,197,19,0.68421
198,198,17,0.64706
199,199,17,0.64706
200,200,14,0.64286
201,201,11,0.81818
202,202,8,1.0
203,203,4,1.0
204,204,4,1.0
205,205,1,1.0
